original_title;english_title;rating;year;film_poster;genres
Breaking the Waves;Breaking the Waves;7.9;1996;;Drama
Pulp Fiction;Pulp Fiction;9.1;1994;;Crime,Drama
Spirited Away;Spirited Away;9.0;2002;;Animation,Adventure,Family,Fantasy,Mystery
Samsara;Samsara;8.0;2012;;Documentary,Music
Room;Room;8.2;2015;;Drama,Thriller
The Wages of Fear;The Wages of Fear;8.3;2011;;Adventure,Drama,Thriller
Judgment at Nuremberg;Judgment at Nuremberg;8.6;1961;;Drama,War
American Beauty;American Beauty;8.8;1999;;Drama
12 Angry Men;12 Angry Men;9.2;1957;;Crime,Drama
Das Boot;Das Boot;8.6;1982;;Drama,War
Once Upon a Time in the West;Once Upon a Time in the West;8.7;2005;;Drama,Western
The Patriot;The Patriot;7.2;2000;;Action,Drama,History,War
Seven;Seven;8.7;1995;;Crime,Drama,Mystery,Thriller
The Dark Knight Rises;The Dark Knight Rises;8.5;2012;;Action,Drama,Thriller
The Last King of Scotland;The Last King of Scotland;7.7;2006;;Biography,Drama,History,Thriller
Wild Strawberries;Wild Strawberries;8.2;1959;;Drama,Romance
Memoirs of a Geisha;Memoirs of a Geisha;7.0;2005;;Drama,Romance
The Pianist;The Pianist;8.7;2002;;Biography,Drama,Music,War
Limitless;Limitless;7.3;2011;;Sci-Fi,Thriller
1917;1917;8.4;2019;;Action,Drama,War
Jaws;Jaws;8.7;1975;;Adventure,Drama,Horror,Thriller
12 Years a Slave;12 Years a Slave;8.0;2013;;Biography,Drama,History
The Lives of Others;The Lives of Others;8.7;2006;;Drama,Mystery,Thriller
Casablanca;Casablanca;8.7;1943;;Drama,Romance,War
Ikiru;Ikiru;8.6;1956;;Drama
Trainspotting;Trainspotting;8.4;1996;;Drama
All About Eve;All About Eve;8.6;1950;;Drama
Brothers;Brothers;6.9;2009;;Drama,Thriller,War
Persona;Persona;8.0;1967;;Drama,Thriller
One Day;One Day;6.2;2011;;Drama,Romance
Frozen;Frozen;7.4;2013;;Animation,Adventure,Comedy,Family,Fantasy,Musical
Jurassic Park;Jurassic Park;8.9;1993;;Action,Adventure,Sci-Fi,Thriller
Back to the Future;Back to the Future;9.0;1985;;Adventure,Comedy,Sci-Fi
Anastasia;Anastasia;7.7;1997;;Animation,Adventure,Drama,Family,Fantasy,Musical,Mystery,Romance
The Bourne Identity;The Bourne Identity;8.0;2002;;Action,Mystery,Thriller
Evil;Evil;6.8;2019;;Crime,Drama,Horror,Mystery,Thriller
Iron Man;Iron Man;8.3;2008;;Action,Adventure,Sci-Fi
Downfall;Downfall;8.7;2005;;Biography,Drama,History,War
Logan;Logan;8.4;2017;;Action,Drama,Sci-Fi,Thriller
Princess Mononoke;Princess Mononoke;8.9;1999;;Animation,Adventure,Fantasy
Requiem for a Dream;Requiem for a Dream;8.4;2000;;Drama
The Battle of Algiers;The Battle of Algiers;8.4;2004;;Drama,War
Oldboy;Oldboy;8.6;2005;;Action,Drama,Mystery,Thriller
In the Mood for Love;In the Mood for Love;8.5;2001;;Drama,Romance
The Promised Land;The Promised Land;7.4;2024;;Action,Biography,Drama,History
Sunset Boulevard;Sunset Boulevard;8.6;1950;;Drama,Film-Noir
Shutter Island;Shutter Island;8.3;2010;;Drama,Mystery,Thriller
Sleepers;Sleepers;7.5;1996;;Crime,Drama,Thriller
The Graduate;The Graduate;8.3;1967;;Comedy,Drama,Romance
No Country for Old Men;No Country for Old Men;8.5;2007;;Crime,Drama,Thriller
Detachment;Detachment;7.9;2012;;Drama
Captain Fantastic;Captain Fantastic;7.7;2016;;Comedy,Drama
Murder in the First;Murder in the First;6.6;2014;;Crime,Drama,Mystery
Spotlight;Spotlight;8.1;2015;;Biography,Crime,Drama
The Boondock Saints;The Boondock Saints;6.1;2009;;Action,Crime,Thriller
Forrest Gump;Forrest Gump;8.9;1994;;Drama,Romance
Paths of Glory;Paths of Glory;8.5;1957;;Drama,War
A Silent Voice;A Silent Voice;8.7;2017;;Animation,Drama
The Color Purple;The Color Purple;8.2;1985;;Drama
Mulan;Mulan;2.9;2020;;Action,Adventure,Drama,Fantasy
Catch Me If You Can;Catch Me If You Can;8.3;2002;;Biography,Crime,Drama
The Life of David Gale;The Life of David Gale;6.6;2003;;Crime,Drama,Mystery,Thriller
Escape from Alcatraz;Escape from Alcatraz;7.8;1979;;Biography,Crime,Drama,Thriller
The Straight Story;The Straight Story;8.4;1999;;Biography,Drama
Joker;Joker;8.9;2019;;Crime,Drama,Thriller
A Time to Kill;A Time to Kill;7.1;1996;;Crime,Drama,Thriller
Green Street;Green Street;7.3;2005;;Crime,Drama,Sport,War
Senna;Senna;8.7;2011;;Documentary,Biography,Sport
The Last Family;The Last Family;6.8;2017;;Biography,Drama
Life of Brian;Life of Brian;8.1;1979;;Comedy
Witness for the Prosecution;Witness for the Prosecution;6.6;2016;;Crime,Drama,Mystery,Thriller
Cinema Paradiso;Cinema Paradiso;8.9;1990;;Drama,Romance
Fracture;Fracture;7.0;2007;;Crime,Drama,Thriller
Aliens;Aliens;8.9;1986;;Action,Adventure,Sci-Fi,Thriller
Papillon;Papillon;6.5;2018;;Adventure,Biography,Crime,Drama
Rain Man;Rain Man;7.9;1988;;Drama
Citizen Kane;Citizen Kane;8.3;1941;;Drama,Mystery
The Elephant Man;The Elephant Man;8.7;1980;;Biography,Drama
Raiders of the Lost Ark;Raiders of the Lost Ark;8.9;1981;;Action,Adventure
Dances with Wolves;Dances with Wolves;8.0;1990;;Adventure,Drama,Western
The Mission;The Mission;8.5;2023;;Documentary,Animation,Biography
Yojimbo;Yojimbo;8.2;1961;;Action,Drama,Thriller
A Man Escaped;A Man Escaped;8.5;2012;;Drama,Thriller,War
About Time;About Time;7.9;2013;;Comedy,Drama,Fantasy,Romance,Sci-Fi
The Iron Giant;The Iron Giant;8.8;1999;;Animation,Action,Adventure,Comedy,Drama,Family,Sci-Fi
Inside Out;Inside Out;8.6;2015;;Animation,Adventure,Comedy,Drama,Family,Fantasy
Harry Potter and the Prisoner of Azkaban;Harry Potter and the Prisoner of Azkaban;8.4;2004;;Adventure,Family,Fantasy,Mystery
Casino Royale;Casino Royale;8.4;2006;;Action,Adventure,Thriller
Interstellar;Interstellar;8.7;2014;;Adventure,Drama,Sci-Fi
Capernaum;Capernaum;8.3;2018;;Drama
The Godfather: Part III;The Godfather: Part III;7.2;1990;;Crime,Drama
The Godfather: Part II;The Godfather: Part II;9.1;1974;;Crime,Drama
Cabaret;Cabaret;7.9;1972;;Drama,Music,Musical,Romance
Ben-Hur;Ben-Hur;4.8;2016;;Action,Adventure,Drama,Romance
Treasure Planet;Treasure Planet;8.2;2002;;Animation,Adventure,Family,Fantasy,Sci-Fi
Snatch;Snatch;8.3;2001;;Comedy,Crime
Billy Elliot;Billy Elliot;7.9;2000;;Drama,Music
Primal Fear;Primal Fear;7.7;1996;;Crime,Drama,Mystery,Thriller
Blood Diamond;Blood Diamond;8.2;2006;;Adventure,Drama,Thriller
Indiana Jones and the Temple of Doom;Indiana Jones and the Temple of Doom;7.7;1984;;Action,Adventure
Coach Carter;Coach Carter;7.7;2005;;Biography,Drama,Sport
Deception;Deception;5.5;2013;;Crime,Drama,Mystery,Romance
A Clockwork Orange;A Clockwork Orange;8.6;1971;;Crime,Sci-Fi
Gran Torino;Gran Torino;8.3;2008;;Drama
The Godfather;The Godfather;9.3;1972;;Crime,Drama
Training Day;Training Day;8.0;2001;;Crime,Drama,Thriller
Knives Out;Knives Out;6.1;2022;;Comedy,Crime,Drama,Mystery,Thriller
The Fugitive;The Fugitive;8.4;1993;;Action,Crime,Drama,Mystery,Thriller
The Fighter;The Fighter;8.1;2010;;Action,Biography,Drama,Sport
21 Grams;21 Grams;7.6;2003;;Crime,Drama,Thriller
Bohemian Rhapsody;Bohemian Rhapsody;7.6;2018;;Biography,Drama,Music
Atonement;Atonement;7.9;2007;;Drama,Mystery,Romance,War
The Theory of Everything;The Theory of Everything;7.6;2014;;Biography,Drama,Romance
The Shawshank Redemption;The Shawshank Redemption;9.3;1994;;Drama
Dangerous Liaisons;Dangerous Liaisons;7.8;1988;;Drama,Romance
Dancer in the Dark;Dancer in the Dark;8.6;2000;;Crime,Drama,Musical
Memories of Murder;Memories of Murder;8.6;2005;;Crime,Drama,Mystery,Thriller
Seven Samurai;Seven Samurai;9.0;1956;;Action,Drama
Interrogation;Interrogation;6.4;2020;;Crime,Drama,Thriller
Eternal Sunshine of the Spotless Mind;Eternal Sunshine of the Spotless Mind;8.9;2004;;Drama,Romance,Sci-Fi
The Cruise;The Cruise;7.0;1998;;Documentary
Enemy at the Gates;Enemy at the Gates;6.8;2001;;Action,Drama,War
Ip Man 4;Ip Man 4;6.7;2019;;Action,Biography,Drama,History
Law Abiding Citizen;Law Abiding Citizen;6.7;2009;;Action,Crime,Drama,Thriller
Fear and Loathing in Las Vegas;Fear and Loathing in Las Vegas;7.5;1998;;Adventure,Comedy,Drama
The Great Beauty;The Great Beauty;8.0;2013;;Drama
The Bone Collector;The Bone Collector;5.0;2020;;Crime,Drama,Mystery,Thriller
Double Indemnity;Double Indemnity;8.6;1944;;Crime,Drama,Film-Noir,Mystery,Thriller
Rashomon;Rashomon;8.4;1951;;Crime,Drama,Mystery
Empire of the Sun;Empire of the Sun;7.7;1987;;Drama,War
Dial M for Murder;Dial M for Murder;8.2;1954;;Crime,Thriller
