original_title,english_title,rating,year,film_poster,genres
Madagascar,,7.45,2005,https://fwcdn.pl/fpo/75/35/107535/7521192_2.7.webp,Animacja;Familijny
Idi i smotri,,7.44,1985,https://fwcdn.pl/fpo/51/85/35185/7659053_2.7.webp,Dramat;Wojenny
Lady and the Tramp,,7.44,1955,https://fwcdn.pl/fpo/36/44/93644/7914273_1.7.webp,Animacja;Familijny;Romans;Muzyczny
Män som hatar kvinnor,,7.44,2009,https://fwcdn.pl/fpo/58/57/465857/7290307_2.7.webp,Kryminał;Thriller
The Color Purple,,7.44,1985,https://fwcdn.pl/fpo/12/18/1218/7708465_1.7.webp,Dramat obyczajowy
Lucky Number Slevin,,7.44,2006,https://fwcdn.pl/fpo/05/08/130508/7535943_2.7.webp,Komedia kryminalna
Enter the Dragon,,7.44,1973,https://fwcdn.pl/fpo/15/80/11580/7210583_1.7.webp,Akcja;Sztuki walki
Monsters, Inc.,,7.44,2001,https://fwcdn.pl/fpo/15/08/31508/7519129_1.7.webp,Animacja;Familijny;Komedia
Hercules,,7.44,1997,https://fwcdn.pl/fpo/05/22/522/7363236_2.7.webp,Animacja;Familijny;Przygodowy
Indiana Jones and the Temple of Doom,,7.44,1984,https://fwcdn.pl/fpo/12/14/1214/7211115_1.7.webp,Przygodowy
Kanał,,7.44,1956,https://fwcdn.pl/fpo/11/17/1117/7358407_1.7.webp,Dramat;Wojenny
Vabank II, czyli riposta,,7.44,1984,https://fwcdn.pl/fpo/11/47/1147/7413437_1.7.webp,Komedia kryminalna
The World's Fastest Indian,,7.43,2005,https://fwcdn.pl/fpo/40/79/124079/7580685_2.7.webp,Biograficzny;Dramat
Enemy of the State,,7.43,1998,https://fwcdn.pl/fpo/17/83/11783/7488943_1.7.webp,Sensacyjny
Mulholland Dr.,,7.43,2001,https://fwcdn.pl/fpo/06/30/30630/7519125_1.7.webp,Dramat;Thriller
Casino Royale,,7.43,2006,https://fwcdn.pl/fpo/76/42/107642/8121746_1.7.webp,Sensacyjny
Metropolis,,7.43,1927,https://fwcdn.pl/fpo/13/52/31352/7188924_1.7.webp,Sci-Fi;Niemy
The Thin Red Line,,7.43,1998,https://fwcdn.pl/fpo/00/28/28/7527824_1.7.webp,Dramat;Wojenny
Witness for the Prosecution,,7.43,1957,https://fwcdn.pl/fpo/15/81/31581/7205698_1.7.webp,Kryminał;Dramat sądowy
To Kill a Mockingbird,,7.43,1962,https://fwcdn.pl/fpo/19/00/11900/7452813_1.7.webp,Dramat
Fear and Loathing in Las Vegas,,7.43,1998,https://fwcdn.pl/fpo/07/72/772/7535966_1.7.webp,Dramat;Surrealistyczny;Komedia
The Gentlemen,,7.43,2019,https://fwcdn.pl/fpo/74/20/817420/7908436_2.7.webp,Kryminał;Akcja
Tato,,7.42,1995,https://fwcdn.pl/fpo/11/92/1192/8074639_1.7.webp,Dramat obyczajowy
Isle of Dogs,,7.42,2018,https://fwcdn.pl/fpo/62/78/756278/7831716_2.7.webp,Animacja;Komedia;Przygodowy
Todo sobre mi madre,,7.42,1999,https://fwcdn.pl/fpo/07/58/758/6900950_1.7.webp,Dramat
Ondskan,,7.42,2003,https://fwcdn.pl/fpo/99/07/109907/6953600_2.7.webp,Dramat
Back to the Future Part II,,7.42,1989,https://fwcdn.pl/fpo/88/24/8824/7872446_1.7.webp,Komedia;Przygodowy;Sci-Fi
12 Years a Slave,,7.42,2013,https://fwcdn.pl/fpo/24/19/632419/7589838_2.7.webp,Biograficzny;Dramat historyczny
Trois couleurs Blanc,,7.42,1994,https://fwcdn.pl/fpo/11/60/1160/7535958_1.7.webp,Dramat;Psychologiczny
Back to the Future,,7.42,1985,https://fwcdn.pl/fpo/88/23/8823/7862830_1.7.webp,Komedia;Przygodowy;Sci-Fi
The Avengers,,7.42,2012,https://fwcdn.pl/fpo/15/15/371515/7611932_1.7.webp,Akcja;Sci-Fi
Rejs,,7.42,1970,https://fwcdn.pl/fpo/07/51/751/7575866_1.7.webp,Komedia
Dracula,,7.42,1992,https://fwcdn.pl/fpo/10/13/1013/7730435_1.7.webp,Horror
Puss in Boots: The Last Wish,,7.42,2022,https://fwcdn.pl/fpo/44/79/714479/8044659_2.7.webp,Animacja;Komedia;Przygodowy
Les douze travaux d'Astérix,,7.42,1976,https://fwcdn.pl/fpo/24/95/32495/7045581_2.7.webp,Animacja;Familijny;Komedia;Przygodowy
Treasure Planet,,7.42,2002,https://fwcdn.pl/fpo/22/54/32254/7586801_1.7.webp,Animacja;Familijny;Przygodowy;Sci-Fi
The Phantom of the Opera,,7.42,2004,https://fwcdn.pl/fpo/64/61/106461/7143114_2.7.webp,Melodramat;Musical
We Were Soldiers,,7.41,2002,https://fwcdn.pl/fpo/17/50/31750/6900448_1.7.webp,Dramat;Wojenny
Vincent,,7.41,1982,https://fwcdn.pl/fpo/14/63/11463/7520050_1.7.webp,Animacja;Dramat;Krótkometrażowy
Harry Potter and the Order of the Phoenix,,7.41,2007,https://fwcdn.pl/fpo/30/08/113008/7166226_2.7.webp,Familijny;Fantasy;Przygodowy
Hable con ella,,7.41,2002,https://fwcdn.pl/fpo/24/13/32413/7792021_1.7.webp,Dramat
The Exorcist,,7.41,1973,https://fwcdn.pl/fpo/13/15/1315/7368591_1.7.webp,Horror
Guardians of the Galaxy,,7.41,2014,https://fwcdn.pl/fpo/43/57/594357/7619980_2.7.webp,Akcja;Sci-Fi
Sound of Metal,,7.41,2019,https://fwcdn.pl/fpo/32/76/763276/7950897_1.7.webp,Dramat
Control,,7.41,2007,https://fwcdn.pl/fpo/13/64/211364/7184491_2.7.webp,Biograficzny;Dramat;Muzyczny
Atonement,,7.41,2007,https://fwcdn.pl/fpo/54/74/305474/7530915_2.7.webp,Melodramat
Plac Zbawiciela,,7.41,2006,https://fwcdn.pl/fpo/59/50/245950/7518135_2.7.webp,Dramat
Erin Brockovich,,7.41,2000,https://fwcdn.pl/fpo/08/83/883/7488046_1.7.webp,Dramat
Hidden Figures,,7.41,2016,https://fwcdn.pl/fpo/31/34/763134/7774552_1.7.webp,Biograficzny;Dramat
A Walk to Remember,,7.41,2002,https://fwcdn.pl/fpo/32/95/33295/7521211_1.7.webp,Melodramat;Dla młodzieży
Before Sunrise,,7.4,1995,https://fwcdn.pl/fpo/40/95/4095/7635402_1.7.webp,Dramat;Romans
The Fast and the Furious,,7.4,2001,https://fwcdn.pl/fpo/05/88/30588/7145648_1.7.webp,Akcja
One Day,,7.4,2011,https://fwcdn.pl/fpo/14/18/571418/7403658_1.7.webp,Melodramat
City of Angels,,7.4,1998,https://fwcdn.pl/fpo/01/16/116/7231891_1.7.webp,Fantasy;Melodramat
Shrek 2,,7.4,2004,https://fwcdn.pl/fpo/34/04/33404/7519128_1.7.webp,Animacja;Familijny;Komedia
Skazany na bluesa,,7.4,2005,https://fwcdn.pl/fpo/90/27/99027/7107062_1.7.webp,Dramat;Muzyczny
Who Am I - Kein System ist sicher,,7.4,2014,https://fwcdn.pl/fpo/64/30/726430/7666909_2.7.webp,Thriller
Felon,,7.4,2008,https://fwcdn.pl/fpo/42/12/464212/7372964_1.7.webp,Dramat;Kryminał
The Magnificent Seven,,7.4,1960,https://fwcdn.pl/fpo/95/25/9525/7522107_1.7.webp,Western
Anastasia,,7.4,1997,https://fwcdn.pl/fpo/00/06/6/7913368_1.7.webp,Animacja;Familijny;Musical;Przygodowy
V for Vendetta,,7.4,2005,https://fwcdn.pl/fpo/00/40/180040/7538604_2.7.webp,Thriller;Sci-Fi
Dirty Dancing,,7.4,1987,https://fwcdn.pl/fpo/17/26/11726/7169736_1.7.webp,Melodramat;Muzyczny
The Truman Show,,7.39,1998,https://fwcdn.pl/fpo/01/89/189/7986277_1.7.webp,Dramat;Komedia;Sci-Fi
As Good as It Gets,,7.39,1997,https://fwcdn.pl/fpo/00/97/97/8022984_1.7.webp,Dramat;Komedia;Romans
The Straight Story,,7.39,1999,https://fwcdn.pl/fpo/08/21/821/7190226_1.7.webp,Dramat obyczajowy
The Thing,,7.39,1982,https://fwcdn.pl/fpo/47/13/4713/7535946_1.7.webp,Horror;Sci-Fi
Moana,,7.39,2016,https://fwcdn.pl/fpo/46/35/704635/7755257_2.7.webp,Animacja;Familijny;Przygodowy
The Passion of the Christ,,7.39,2004,https://fwcdn.pl/fpo/82/33/38233/7517638_1.7.webp,Dramat;Biblijny
Me Before You,,7.39,2016,https://fwcdn.pl/fpo/37/05/723705/7730927_1.7.webp,Melodramat
The Bridges of Madison County,,7.39,1995,https://fwcdn.pl/fpo/06/41/641/7469336_1.7.webp,Melodramat
The Bone Collector,,7.39,1999,https://fwcdn.pl/fpo/08/49/849/6902062_1.7.webp,Kryminał;Thriller
Fa yeung nin wa,,7.39,2000,https://fwcdn.pl/fpo/15/08/1508/7998347_1.7.webp,Melodramat
Promising Young Woman,,7.39,2020,https://fwcdn.pl/fpo/54/86/835486/7945202_2.7.webp,Dramat;Kryminał
Escape from Alcatraz,,7.39,1979,https://fwcdn.pl/fpo/13/06/11306/7358178_1.7.webp,Dramat;Thriller
Chocolat,,7.39,2000,https://fwcdn.pl/fpo/45/45/4545/7519126_1.7.webp,Dramat;Komedia;Romans
Captain Fantastic,,7.39,2016,https://fwcdn.pl/fpo/02/04/720204/7735388_1.7.webp,Dramat
Pocahontas,,7.39,1995,https://fwcdn.pl/fpo/87/12/8712/8063749_1.7.webp,Animacja;Romans
Amour,,7.39,2012,https://fwcdn.pl/fpo/02/44/610244/7752279_2.7.webp,Melodramat
Le scaphandre et le papillon,,7.38,2007,https://fwcdn.pl/fpo/22/42/122242/7181585_2.7.webp,Biograficzny;Dramat
Brothers,,7.38,2009,https://fwcdn.pl/fpo/99/73/459973/7569264_2.7.webp,Dramat
The Last King of Scotland,,7.38,2006,https://fwcdn.pl/fpo/15/84/231584/7131577_2.7.webp,Dramat
Kill Bill: Vol. 2,,7.38,2004,https://fwcdn.pl/fpo/55/75/105575/7532134_2.7.webp,Thriller;Akcja
Toy Story,,7.38,1995,https://fwcdn.pl/fpo/07/11/711/7312131_1.7.webp,Animacja;Familijny;Komedia
Akira,,7.38,1988,https://fwcdn.pl/fpo/18/65/31865/8095953_1.7.webp,Sci-Fi;Anime
Now Is Good,,7.38,2012,https://fwcdn.pl/fpo/74/15/627415/7501688_2.7.webp,Dramat obyczajowy
Sin City,,7.38,2005,https://fwcdn.pl/fpo/25/84/112584/7517873_2.7.webp,Kryminał
